"anio","provincia","poblacion"
"1992","La Pampa","267559.00000"
"1993","La Pampa","272135.00000"
"1994","La Pampa","276650.00000"
"1995","La Pampa","281080.00000"
"1996","La Pampa","285424.00000"
"1997","La Pampa","289699.00000"
"1998","La Pampa","293903.00000"
"1999","La Pampa","298035.00000"
"2000","La Pampa","302095.00000"
"2001","La Pampa","306037.00000"
"2002","La Pampa","308325.63606"
"2003","La Pampa","310625.28885"
"2004","La Pampa","312935.92247"
"2005","La Pampa","315257.49862"
"2006","La Pampa","317589.97653"
"2007","La Pampa","319933.31288"
"2008","La Pampa","322287.46175"
"2009","La Pampa","324652.37457"
"2010","La Pampa","327028.00000"
"2011","La Pampa","330268.00000"
"2012","La Pampa","333496.00000"
"2013","La Pampa","336706.00000"
"2014","La Pampa","339895.00000"
"2015","La Pampa","343056.00000"
"2016","La Pampa","346191.00000"
"2017","La Pampa","349299.00000"
"2018","La Pampa","352378.00000"
"1869","La Rioja","48746.00000"
"1870","La Rioja","49696.21738"
"1871","La Rioja","50642.97620"
"1872","La Rioja","51585.97371"
"1873","La Rioja","52524.89517"
"1874","La Rioja","53459.41342"
"1875","La Rioja","54389.18858"
"1876","La Rioja","55313.86793"
"1877","La Rioja","56233.08583"
"1878","La Rioja","57146.46386"
"1879","La Rioja","58053.61093"
"1880","La Rioja","58954.12357"
"1881","La Rioja","59847.58625"
"1882","La Rioja","60733.57177"
"1883","La Rioja","61611.64168"
"1884","La Rioja","62481.34677"
"1885","La Rioja","63342.22757"
"1886","La Rioja","64193.81491"
"1887","La Rioja","65035.63044"
"1888","La Rioja","65867.18720"
"1889","La Rioja","66687.99017"
"1890","La Rioja","67497.53686"
"1891","La Rioja","68295.31782"
"1892","La Rioja","69080.81721"
"1893","La Rioja","69853.51328"
"1894","La Rioja","70612.87889"
"1895","La Rioja","71085.42085"
"1896","La Rioja","71306.72239"
"1897","La Rioja","71436.37359"
"1898","La Rioja","71553.57864"
"1899","La Rioja","71658.30533"
"1900","La Rioja","71750.52610"
"1901","La Rioja","71719.63569"
"1902","La Rioja","71676.16087"
"1903","La Rioja","71620.14465"
"1904","La Rioja","71551.63350"
"1905","La Rioja","71470.67702"
"1906","La Rioja","72630.60486"
"1907","La Rioja","73796.45637"
"1908","La Rioja","74967.91778"
"1909","La Rioja","76144.66265"
"1910","La Rioja","77326.35115"
"1911","La Rioja","78030.38251"
"1912","La Rioja","78727.01743"
"1913","La Rioja","79415.91762"
"1914","La Rioja","80096.73819"
"1915","La Rioja","82424.21636"
"1916","La Rioja","82966.34322"
"1917","La Rioja","83509.13536"
"1918","La Rioja","84052.48188"
"1919","La Rioja","84596.26638"
"1920","La Rioja","85140.36680"
"1921","La Rioja","86794.37916"
"1922","La Rioja","88477.00864"
"1923","La Rioja","90188.57362"
"1924","La Rioja","91929.38507"
"1925","La Rioja","93699.74573"
"1926","La Rioja","95220.03967"
"1927","La Rioja","96760.56655"
"1928","La Rioja","98321.37670"
"1929","La Rioja","99902.50650"
"1930","La Rioja","101503.97742"
"1931","La Rioja","102245.87412"
"1932","La Rioja","102987.71021"
"1933","La Rioja","103729.23342"
"1934","La Rioja","104470.17917"
"1935","La Rioja","105210.27014"
"1936","La Rioja","105639.33599"
"1937","La Rioja","106063.55077"
"1938","La Rioja","106482.62771"
"1939","La Rioja","106896.26905"
"1940","La Rioja","107304.16576"
"1941","La Rioja","107694.67015"
"1942","La Rioja","108078.69484"
"1943","La Rioja","108455.89732"
"1944","La Rioja","108825.92277"
"1945","La Rioja","109188.40379"
"1946","La Rioja","110366.46848"
"1947","La Rioja","111547.63145"
"1948","La Rioja","113546.87667"
"1949","La Rioja","115557.66500"
"1950","La Rioja","117579.29304"
"1951","La Rioja","119397.99710"
"1952","La Rioja","121115.91938"
"1953","La Rioja","122744.11726"
"1954","La Rioja","124293.46288"
"1955","La Rioja","125774.62436"
"1956","La Rioja","127180.05776"
"1957","La Rioja","128502.49481"
"1958","La Rioja","129752.70026"
"1959","La Rioja","130941.20535"
"1960","La Rioja","132078.27799"
"1961","La Rioja","133033.18328"
"1962","La Rioja","133936.61700"
"1963","La Rioja","134793.90768"
"1964","La Rioja","135610.24964"
"1965","La Rioja","136390.63866"
"1966","La Rioja","137096.72092"
"1967","La Rioja","137726.43375"
"1968","La Rioja","138337.51999"
"1969","La Rioja","138985.52748"
"1970","La Rioja","139723.82244"
"1971","La Rioja","142166.12896"
"1972","La Rioja","144739.96323"
"1973","La Rioja","147381.96584"
"1974","La Rioja","150028.48600"
"1975","La Rioja","152615.64689"
"1976","La Rioja","155123.08389"
"1977","La Rioja","157592.46069"
"1978","La Rioja","160052.83524"
"1979","La Rioja","162533.35863"
"1980","La Rioja","165063.22976"
"1981","La Rioja","169801.59131"
"1982","La Rioja","174678.60309"
"1983","La Rioja","179681.89741"
"1984","La Rioja","184798.37099"
"1985","La Rioja","190014.12960"
"1986","La Rioja","195344.67383"
"1987","La Rioja","200802.35095"
"1988","La Rioja","206367.26988"
"1989","La Rioja","212018.29542"
"1990","La Rioja","217842.00000"
"1991","La Rioja","225061.00000"
"1992","La Rioja","232279.00000"
"1993","La Rioja","239473.00000"
"1994","La Rioja","246619.00000"
"1995","La Rioja","253691.00000"
"1996","La Rioja","260688.00000"
"1997","La Rioja","267619.00000"
"1998","La Rioja","274482.00000"
"1999","La Rioja","281276.00000"
"2000","La Rioja","287996.00000"
"2001","La Rioja","294597.00000"
"2002","La Rioja","299601.92523"
"2003","La Rioja","304685.89765"
"2004","La Rioja","309850.03015"
"2005","La Rioja","315095.44745"
"2006","La Rioja","320423.28615"
"2007","La Rioja","325834.69465"
"2008","La Rioja","331330.83316"
"2009","La Rioja","336912.87370"
"2010","La Rioja","342582.00000"
"2011","La Rioja","347494.00000"
"2012","La Rioja","352476.00000"
"2013","La Rioja","357516.00000"
"2014","La Rioja","362605.00000"
"2015","La Rioja","367728.00000"
"2016","La Rioja","372879.00000"
"2017","La Rioja","378047.00000"
"2018","La Rioja","383220.00000"
"1869","Mendoza","65413.00000"
"1870","Mendoza","67250.77246"
"1871","Mendoza","69110.18000"
"1872","Mendoza","70991.00039"
"1873","Mendoza","72892.98216"
"1874","Mendoza","74815.84290"
"1875","Mendoza","76759.26789"
"1876","Mendoza","78722.90878"
"1877","Mendoza","80706.38241"
"1878","Mendoza","82709.26981"
"1879","Mendoza","84731.11526"
"1880","Mendoza","86771.42553"
"1881","Mendoza","88829.66912"
"1882","Mendoza","90905.27568"
"1883","Mendoza","92997.63546"
"1884","Mendoza","95106.09882"
"1885","Mendoza","97229.97587"
"1886","Mendoza","99368.53605"
"1887","Mendoza","101521.00786"
"1888","Mendoza","103686.57854"
"1889","Mendoza","105864.39386"
"1890","Mendoza","108053.55781"
"1891","Mendoza","110253.13240"
"1892","Mendoza","112462.13742"
"1893","Mendoza","114679.55017"
"1894","Mendoza","116904.30522"
"1895","Mendoza","118679.57604"
"1896","Mendoza","123741.05320"
"1897","Mendoza","128851.83850"
"1898","Mendoza","134149.93458"
"1899","Mendoza","139641.18495"
"1900","Mendoza","145331.57104"
"1901","Mendoza","150994.39960"
"1902","Mendoza","156850.31185"
"1903","Mendoza","162904.74375"
"1904","Mendoza","169163.23292"
"1905","Mendoza","175631.41722"
"1906","Mendoza","185516.20726"
"1907","Mendoza","195923.07578"
"1908","Mendoza","206877.57511"
"1909","Mendoza","218406.38048"
"1910","Mendoza","230537.32961"
"1911","Mendoza","241805.04798"
"1912","Mendoza","253579.01580"
"1913","Mendoza","265879.56406"
"1914","Mendoza","278727.69057"
"1915","Mendoza","290526.26634"
"1916","Mendoza","296208.70324"
"1917","Mendoza","301991.79485"
"1918","Mendoza","307876.81704"
"1919","Mendoza","313865.03146"
"1920","Mendoza","319957.68316"
"1921","Mendoza","330380.12837"
"1922","Mendoza","341128.52598"
"1923","Mendoza","352212.21631"
"1924","Mendoza","363640.74761"
"1925","Mendoza","375423.87615"
"1926","Mendoza","386435.59704"
"1927","Mendoza","397752.08033"
"1928","Mendoza","409380.63776"
"1929","Mendoza","421328.67929"
"1930","Mendoza","433603.70842"
"1931","Mendoza","442406.00147"
"1932","Mendoza","451362.95287"
"1933","Mendoza","460475.96448"
"1934","Mendoza","469746.36430"
"1935","Mendoza","479175.39962"
"1936","Mendoza","487334.69440"
"1937","Mendoza","495602.08007"
"1938","Mendoza","503977.33789"
"1939","Mendoza","512460.13414"
"1940","Mendoza","521050.01292"
"1941","Mendoza","529690.67699"
"1942","Mendoza","538435.26971"
"1943","Mendoza","547282.88990"
"1944","Mendoza","556232.48298"
"1945","Mendoza","565282.83240"
"1946","Mendoza","578750.94787"
"1947","Mendoza","592488.89165"
"1948","Mendoza","612014.93093"
"1949","Mendoza","632051.61924"
"1950","Mendoza","652606.80915"
"1951","Mendoza","672488.34735"
"1952","Mendoza","692238.76789"
"1953","Mendoza","711905.48670"
"1954","Mendoza","731538.02705"
"1955","Mendoza","751187.95129"
"1956","Mendoza","770799.75515"
"1957","Mendoza","790316.54737"
"1958","Mendoza","809790.88881"
"1959","Mendoza","829277.30768"
"1960","Mendoza","848832.13137"
"1961","Mendoza","864045.23401"
"1962","Mendoza","879147.82113"
"1963","Mendoza","894167.59255"
"1964","Mendoza","909132.66125"
"1965","Mendoza","924071.10629"
"1966","Mendoza","938715.47737"
"1967","Mendoza","953038.17298"
"1968","Mendoza","967428.91317"
"1969","Mendoza","982278.72950"
"1970","Mendoza","997979.68632"
"1971","Mendoza","1017423.68151"
"1972","Mendoza","1037883.53528"
"1973","Mendoza","1058909.80626"
"1974","Mendoza","1080047.39177"
"1975","Mendoza","1100835.96129"
"1976","Mendoza","1121126.03302"
"1977","Mendoza","1141216.13836"
"1978","Mendoza","1161315.70769"
"1979","Mendoza","1181636.50359"
"1980","Mendoza","1202392.30539"
"1981","Mendoza","1222424.12410"
"1982","Mendoza","1242808.37869"
"1983","Mendoza","1263435.55257"
"1984","Mendoza","1284195.70603"
"1985","Mendoza","1304978.26331"
"1986","Mendoza","1325877.07613"
"1987","Mendoza","1346960.27287"
"1988","Mendoza","1368078.81801"
"1989","Mendoza","1389082.19565"
"1990","Mendoza","1410069.00000"
"1991","Mendoza","1429414.00000"
"1992","Mendoza","1448695.00000"
"1993","Mendoza","1467779.00000"
"1994","Mendoza","1486533.00000"
"1995","Mendoza","1504825.00000"
"1996","Mendoza","1522659.00000"
"1997","Mendoza","1540125.00000"
"1998","Mendoza","1557221.00000"
"1999","Mendoza","1573944.00000"
"2000","Mendoza","1590292.00000"
"2001","Mendoza","1606024.00000"
"2002","Mendoza","1624077.41798"
"2003","Mendoza","1642301.53299"
"2004","Mendoza","1660697.39528"
"2005","Mendoza","1679266.04713"
"2006","Mendoza","1698008.52232"
"2007","Mendoza","1716925.84550"
"2008","Mendoza","1736019.03161"
"2009","Mendoza","1755289.08525"
"2010","Mendoza","1774737.00000"
"2011","Mendoza","1797235.00000"
"2012","Mendoza","1819608.00000"
"2013","Mendoza","1841813.00000"
"2014","Mendoza","1863809.00000"
"2015","Mendoza","1885551.00000"
"2016","Mendoza","1907045.00000"
"2017","Mendoza","1928304.00000"
"2018","Mendoza","1949293.00000"
"1869","Misiones","3000.00000"
"1870","Misiones","3309.14770"
"1871","Misiones","3648.56919"
"1872","Misiones","4021.10622"
"1873","Misiones","4429.85647"
"1874","Misiones","4878.19546"
"1875","Misiones","5369.80032"
"1876","Misiones","5908.67540"
"1877","Misiones","6499.18004"
"1878","Misiones","7146.05840"
"1879","Misiones","7854.47180"
"1880","Misiones","8630.03351"
"1881","Misiones","9478.84630"
"1882","Misiones","10407.54297"
"1883","Misiones","11423.32988"
"1884","Misiones","12534.03396"
"1885","Misiones","13748.15326"
"1886","Misiones","15074.91132"
"1887","Misiones","16524.31565"
"1888","Misiones","18107.22062"
"1889","Misiones","19835.39494"
"1890","Misiones","21721.59417"
"1891","Misiones","23779.63853"
"1892","Misiones","26024.49629"
"1893","Misiones","28472.37319"
"1894","Misiones","31140.80817"
"1895","Misiones","33918.53201"
"1896","Misiones","34641.80019"
"1897","Misiones","35334.81701"
"1898","Misiones","36035.31103"
"1899","Misiones","36743.19502"
"1900","Misiones","37458.37590"
"1901","Misiones","38121.97546"
"1902","Misiones","38790.51336"
"1903","Misiones","39463.85025"
"1904","Misiones","40141.84065"
"1905","Misiones","40824.33270"
"1906","Misiones","42240.04075"
"1907","Misiones","43697.20352"
"1908","Misiones","45196.73411"
"1909","Misiones","46739.55157"
"1910","Misiones","48326.57988"
"1911","Misiones","49651.88586"
"1912","Misiones","51004.59224"
"1913","Misiones","52384.94699"
"1914","Misiones","53793.18389"
"1915","Misiones","57402.48266"
"1916","Misiones","59915.78143"
"1917","Misiones","62536.94994"
"1918","Misiones","65270.46105"
"1919","Misiones","68120.96078"
"1920","Misiones","71093.27406"
"1921","Misiones","75153.29549"
"1922","Misiones","79442.02192"
"1923","Misiones","83972.05979"
"1924","Misiones","88756.68491"
"1925","Misiones","93809.87558"
"1926","Misiones","98855.75005"
"1927","Misiones","104168.26000"
"1928","Misiones","109761.08415"
"1929","Misiones","115648.56587"
"1930","Misiones","121845.74205"
"1931","Misiones","127273.06965"
"1932","Misiones","132935.06701"
"1933","Misiones","138841.32664"
"1934","Misiones","145001.78742"
"1935","Misiones","151426.74315"
"1936","Misiones","157664.36232"
"1937","Misiones","164148.70770"
"1938","Misiones","170888.75880"
"1939","Misiones","177893.75934"
"1940","Misiones","185173.21962"
"1941","Misiones","192716.64904"
"1942","Misiones","200552.71536"
"1943","Misiones","208691.64226"
"1944","Misiones","217143.91966"
"1945","Misiones","225920.30289"
"1946","Misiones","236798.70364"
"1947","Misiones","248179.52972"
"1948","Misiones","257268.46390"
"1949","Misiones","266634.21324"
"1950","Misiones","276282.71735"
"1951","Misiones","285710.15216"
"1952","Misiones","295145.12740"
"1953","Misiones","304607.66757"
"1954","Misiones","314118.98741"
"1955","Misiones","323701.48113"
"1956","Misiones","333331.55798"
"1957","Misiones","342984.68660"
"1958","Misiones","352683.65451"
"1959","Misiones","362452.43251"
"1960","Misiones","372316.11915"
"1961","Misiones","380404.11499"
"1962","Misiones","388498.48564"
"1963","Misiones","396611.26992"
"1964","Misiones","404754.87150"
"1965","Misiones","412941.86421"
"1966","Misiones","421052.45170"
"1967","Misiones","429073.02999"
"1968","Misiones","437178.38638"
"1969","Misiones","445546.52289"
"1970","Misiones","454358.56500"
"1971","Misiones","466852.39947"
"1972","Misiones","479984.38734"
"1973","Misiones","493557.99835"
"1974","Misiones","507367.64881"
"1975","Misiones","521198.67528"
"1976","Misiones","534977.93182"
"1977","Misiones","548845.45257"
"1978","Misiones","562902.53092"
"1979","Misiones","577254.77681"
"1980","Misiones","592012.06864"
"1981","Misiones","608814.17992"
"1982","Misiones","626102.58198"
"1983","Misiones","643832.49322"
"1984","Misiones","661956.55343"
"1985","Misiones","680424.62973"
"1986","Misiones","699291.87932"
"1987","Misiones","718602.10505"
"1988","Misiones","738283.72055"
"1989","Misiones","758260.78027"
"1990","Misiones","779446.00000"
"1991","Misiones","797464.00000"
"1992","Misiones","815463.00000"
"1993","Misiones","833365.00000"
"1994","Misiones","851090.00000"
"1995","Misiones","868553.00000"
"1996","Misiones","885753.00000"
"1997","Misiones","902734.00000"
"1998","Misiones","919492.00000"
"1999","Misiones","936023.00000"
"2000","Misiones","952321.00000"
"2001","Misiones","968238.00000"
"2002","Misiones","983450.18588"
"2003","Misiones","998881.76293"
"2004","Misiones","1014535.47404"
"2005","Misiones","1030414.08492"
"2006","Misiones","1046520.38380"
"2007","Misiones","1062857.18127"
"2008","Misiones","1079427.30995"
"2009","Misiones","1096233.62424"
"2010","Misiones","1113279.00000"
"2011","Misiones","1128798.00000"
"2012","Misiones","1144189.00000"
"2013","Misiones","1159445.00000"
"2014","Misiones","1174542.00000"
"2015","Misiones","1189446.00000"
"2016","Misiones","1204182.00000"
"2017","Misiones","1218771.00000"
"2018","Misiones","1233177.00000"
"1869","Neuquén","19847.00000"
"1870","Neuquén","19721.05437"
"1871","Neuquén","19587.40614"
"1872","Neuquén","19446.44642"
"1873","Neuquén","19298.55200"
"1874","Neuquén","19144.08573"
"1875","Neuquén","18983.39708"
"1876","Neuquén","18816.82266"
"1877","Neuquén","18644.68674"
"1878","Neuquén","18467.30184"
"1879","Neuquén","18284.96927"
"1880","Neuquén","18097.97964"
"1881","Neuquén","17906.61344"
"1882","Neuquén","17711.14151"
"1883","Neuquén","17511.82555"
"1884","Neuquén","17308.91856"
"1885","Neuquén","17102.66526"
"1886","Neuquén","16893.30256"
"1887","Neuquén","16681.05984"
"1888","Neuquén","16466.15937"
"1889","Neuquén","16248.81660"
"1890","Neuquén","16029.24046"
"1891","Neuquén","15807.63359"
"1892","Neuquén","15584.19264"
"1893","Neuquén","15359.10843"
"1894","Neuquén","15132.56617"
"1895","Neuquén","14847.73178"
"1896","Neuquén","15331.19751"
"1897","Neuquén","15809.96955"
"1898","Neuquén","16300.80387"
"1899","Neuquén","16803.90531"
"1900","Neuquén","17319.47852"
"1901","Neuquén","17820.25137"
"1902","Neuquén","18332.28144"
"1903","Neuquén","18855.71493"
"1904","Neuquén","19390.69576"
"1905","Neuquén","19937.36523"
"1906","Neuquén","20855.73784"
"1907","Neuquén","21812.60001"
"1908","Neuquén","22809.37606"
"1909","Neuquén","23847.53271"
"1910","Neuquén","24928.57957"
"1911","Neuquén","25894.03800"
"1912","Neuquén","26892.17155"
"1913","Neuquén","27923.87352"
"1914","Neuquén","28990.04996"
"1915","Neuquén","30540.62880"
"1916","Neuquén","31471.25853"
"1917","Neuquén","32429.11996"
"1918","Neuquén","33414.94358"
"1919","Neuquén","34429.47504"
"1920","Neuquén","35473.47514"
"1921","Neuquén","37021.05871"
"1922","Neuquén","38634.62299"
"1923","Neuquén","40316.86740"
"1924","Neuquén","42070.59278"
"1925","Neuquén","43898.70440"
"1926","Neuquén","45669.96333"
"1927","Neuquén","47510.51321"
"1928","Neuquén","49422.90675"
"1929","Neuquén","51409.77845"
"1930","Neuquén","53473.84617"
"1931","Neuquén","55143.35282"
"1932","Neuquén","56861.95573"
"1933","Neuquén","58630.90169"
"1934","Neuquén","60451.45506"
"1935","Neuquén","62324.89696"
"1936","Neuquén","64064.59876"
"1937","Neuquén","65848.76351"
"1938","Neuquén","67678.26806"
"1939","Neuquén","69553.98833"
"1940","Neuquén","71476.79777"
"1941","Neuquén","73439.84130"
"1942","Neuquén","75451.28230"
"1943","Neuquén","77511.96017"
"1944","Neuquén","79622.70369"
"1945","Neuquén","81784.32876"
"1946","Neuquén","84629.10284"
"1947","Neuquén","87565.28351"
"1948","Neuquén","89738.73346"
"1949","Neuquén","91946.80420"
"1950","Neuquén","94189.36392"
"1951","Neuquén","96294.43718"
"1952","Neuquén","98341.88441"
"1953","Neuquén","100339.31244"
"1954","Neuquén","102294.40012"
"1955","Neuquén","104214.88151"
"1956","Neuquén","106093.52180"
"1957","Neuquén","107923.13334"
"1958","Neuquén","109711.59507"
"1959","Neuquén","111466.81632"
"1960","Neuquén","113196.70854"
"1961","Neuquén","117251.13393"
"1962","Neuquén","121397.86833"
"1963","Neuquén","125642.52820"
"1964","Neuquén","129991.09014"
"1965","Neuquén","134449.84344"
"1966","Neuquén","138981.65299"
"1967","Neuquén","143582.78563"
"1968","Neuquén","148313.17283"
"1969","Neuquén","153237.12213"
"1970","Neuquén","158423.47419"
"1971","Neuquén","165600.16689"
"1972","Neuquén","173208.27918"
"1973","Neuquén","181192.44744"
"1974","Neuquén","189489.44769"
"1975","Neuquén","198027.69038"
"1976","Neuquén","206784.91208"
"1977","Neuquén","215820.85634"
"1978","Neuquén","225183.67553"
"1979","Neuquén","234926.27832"
"1980","Neuquén","245106.58810"
"1981","Neuquén","256089.50007"
"1982","Neuquén","267568.56961"
"1983","Neuquén","279540.72178"
"1984","Neuquén","292000.95117"
"1985","Neuquén","304942.10551"
"1986","Neuquén","318403.94709"
"1987","Neuquén","332422.97502"
"1988","Neuquén","346983.18401"
"1989","Neuquén","362064.81119"
"1990","Neuquén","378541.00000"
"1991","Neuquén","389744.00000"
"1992","Neuquén","399448.00000"
"1993","Neuquén","409151.00000"
"1994","Neuquén","418855.00000"
"1995","Neuquén","428558.00000"
"1996","Neuquén","438262.00000"
"1997","Neuquén","447965.00000"
"1998","Neuquén","457669.00000"
"1999","Neuquén","467372.00000"
"2000","Neuquén","477076.00000"
"2001","Neuquén","486779.00000"
"2002","Neuquén","495614.07233"
"2003","Neuquén","504599.59524"
"2004","Neuquén","513737.89537"
"2005","Neuquén","523031.32852"
"2006","Neuquén","532482.27980"
"2007","Neuquén","542093.16374"
"2008","Neuquén","551866.42438"
"2009","Neuquén","561804.53535"
"2010","Neuquén","571910.00000"
"2011","Neuquén","581720.00000"
"2012","Neuquén","591422.00000"
"2013","Neuquén","601003.00000"
"2014","Neuquén","610449.00000"
"2015","Neuquén","619745.00000"
"2016","Neuquén","628897.00000"
"2017","Neuquén","637913.00000"
"2018","Neuquén","646784.00000"
"1895","Río Negro","9451.53196"
"1896","Río Negro","10196.36370"
"1897","Río Negro","10985.69199"
"1898","Río Negro","11834.02693"
"1899","Río Negro","12745.61813"
"1900","Río Negro","13725.00889"
"1901","Río Negro","14754.30628"
"1902","Río Negro","15858.00793"
"1903","Río Negro","17041.28203"
"1904","Río Negro","18309.63971"
"1905","Río Negro","19668.95637"
"1906","Río Negro","21496.42585"
"1907","Río Negro","23489.58150"
"1908","Río Negro","25663.05739"
"1909","Río Negro","28032.74257"
"1910","Río Negro","30615.88476"
"1911","Río Negro","33225.85828"
"1912","Río Negro","36052.00696"
"1913","Río Negro","39111.67193"
"1914","Río Negro","42423.53255"
"1915","Río Negro","44766.52873"
"1916","Río Negro","46206.93228"
"1917","Río Negro","47692.02570"
"1918","Río Negro","49223.09513"
"1919","Río Negro","50801.45693"
"1920","Río Negro","52428.45780"
"1921","Río Negro","54806.20891"
"1922","Río Negro","57289.52038"
"1923","Río Negro","59882.90612"
"1924","Río Negro","62591.05903"
"1925","Río Negro","65418.85699"
"1926","Río Negro","68170.97291"
"1927","Río Negro","71035.61279"
"1928","Río Negro","74017.13560"
"1929","Río Negro","77120.05002"
"1930","Río Negro","80349.01794"
"1931","Río Negro","82994.61210"
"1932","Río Negro","85722.75186"
"1933","Río Negro","88535.70808"
"1934","Río Negro","91435.79196"
"1935","Río Negro","94425.35399"
"1936","Río Negro","97221.59534"
"1937","Río Negro","100094.41311"
"1938","Río Negro","103045.49973"
"1939","Río Negro","106076.55625"
"1940","Río Negro","109189.28991"
"1941","Río Negro","112373.59227"
"1942","Río Negro","115642.30512"
"1943","Río Negro","118997.11024"
"1944","Río Negro","122439.68289"
"1945","Río Negro","125971.68820"
"1946","Río Negro","130569.02865"
"1947","Río Negro","135322.48826"
"1948","Río Negro","140069.11677"
"1949","Río Negro","144951.77274"
"1950","Río Negro","149973.03962"
"1951","Río Negro","154859.18401"
"1952","Río Negro","159734.50158"
"1953","Río Negro","164609.82889"
"1954","Río Negro","169496.58021"
"1955","Río Negro","174406.73709"
"1956","Río Negro","179327.47020"
"1957","Río Negro","184245.52106"
"1958","Río Negro","189173.09107"
"1959","Río Negro","194122.94255"
"1960","Río Negro","199108.36461"
"1961","Río Negro","205539.77792"
"1962","Río Negro","212086.49629"
"1963","Río Negro","218756.89405"
"1964","Río Negro","225559.84779"
"1965","Río Negro","232504.64461"
"1966","Río Negro","239525.59626"
"1967","Río Negro","246615.26619"
"1968","Río Negro","253875.29046"
"1969","Río Negro","261413.38443"
"1970","Río Negro","269343.49478"
"1971","Río Negro","279348.76527"
"1972","Río Negro","289903.63519"
"1973","Río Negro","300901.34809"
"1974","Río Negro","312225.30629"
"1975","Río Negro","323748.69075"
"1976","Río Negro","335428.51094"
"1977","Río Negro","347355.00920"
"1978","Río Negro","359597.02203"
"1979","Río Negro","372228.66076"
"1980","Río Negro","385329.46883"
"1981","Río Negro","395791.52394"
"1982","Río Negro","406543.75281"
"1983","Río Negro","417556.02527"
"1984","Río Negro","428796.68247"
"1985","Río Negro","440232.42084"
"1986","Río Negro","451898.13499"
"1987","Río Negro","463821.22212"
"1988","Río Negro","475954.55745"
"1989","Río Negro","488248.43256"
"1990","Río Negro","501030.00000"
"1991","Río Negro","508153.00000"
"1992","Río Negro","515255.00000"
"1993","Río Negro","522288.00000"
"1994","Río Negro","529203.00000"
"1995","Río Negro","535953.00000"
"1996","Río Negro","542539.00000"
"1997","Río Negro","548993.00000"
"1998","Río Negro","555315.00000"
"1999","Río Negro","561503.00000"
"2000","Río Negro","567558.00000"
"2001","Río Negro","573394.00000"
"2002","Río Negro","581313.85485"
"2003","Río Negro","589331.53055"
"2004","Río Negro","597448.00689"
"2005","Río Negro","605664.26750"
"2006","Río Negro","613981.29958"
"2007","Río Negro","622400.09371"
"2008","Río Negro","630921.64362"
"2009","Río Negro","639546.94595"
"2010","Río Negro","648277.00000"
"2011","Río Negro","658486.00000"
"2012","Río Negro","668663.00000"
"2013","Río Negro","678797.00000"
"2014","Río Negro","688873.00000"
"2015","Río Negro","698874.00000"
"2016","Río Negro","708799.00000"
"2017","Río Negro","718646.00000"
"2018","Río Negro","728403.00000"
"1869","Salta","88933.00000"
"1870","Salta","90416.54459"
"1871","Salta","91884.95480"
"1872","Salta","93337.77233"
"1873","Salta","94774.52288"
"1874","Salta","96194.71562"
"1875","Salta","97597.84292"
"1876","Salta","98983.38036"
"1877","Salta","100350.78698"
"1878","Salta","101699.50564"
"1879","Salta","103028.96361"
"1880","Salta","104338.57332"
"1881","Salta","105627.73311"
"1882","Salta","106895.82823"
"1883","Salta","108142.23178"
"1884","Salta","109366.30578"
"1885","Salta","110567.40229"
"1886","Salta","111744.86449"
"1887","Salta","112898.02783"
"1888","Salta","114026.22117"
"1889","Salta","115128.76787"
"1890","Salta","116204.98689"
"1891","Salta","117254.19386"
"1892","Salta","118275.70210"
"1893","Salta","119268.82357"
"1894","Salta","120232.86979"
"1895","Salta","120703.66237"
"1896","Salta","121389.04049"
"1897","Salta","121920.71452"
"1898","Salta","122433.01769"
"1899","Salta","122925.73772"
"1900","Salta","123398.66900"
"1901","Salta","123660.94349"
"1902","Salta","123901.99859"
"1903","Salta","124121.74296"
"1904","Salta","124320.09119"
"1905","Salta","124496.96333"
"1906","Salta","126840.98873"
"1907","Salta","129206.55914"
"1908","Salta","131593.24519"
"1909","Salta","134000.59008"
"1910","Salta","136428.10809"
"1911","Salta","138022.27150"
"1912","Salta","139610.57909"
"1913","Salta","141192.35556"
"1914","Salta","142766.90717"
"1915","Salta","148650.82339"
"1916","Salta","151395.93434"
"1917","Salta","154186.38364"
"1918","Salta","157022.66665"
"1919","Salta","159905.26906"
"1920","Salta","162834.66565"
"1921","Salta","167958.78426"
"1922","Salta","173237.26710"
"1923","Salta","178674.33848"
"1924","Salta","184274.30888"
"1925","Salta","190041.57449"
"1926","Salta","195406.19906"
"1927","Salta","200913.05303"
"1928","Salta","206565.34991"
"1929","Salta","212366.33798"
"1930","Salta","218319.29765"
"1931","Salta","222512.61047"
"1932","Salta","226774.39162"
"1933","Salta","231105.10987"
"1934","Salta","235505.19453"
"1935","Salta","239975.03211"
"1936","Salta","243799.80673"
"1937","Salta","247670.12769"
"1938","Salta","251585.72594"
"1939","Salta","255546.27592"
"1940","Salta","259551.39229"
"1941","Salta","263572.90445"
"1942","Salta","267637.16133"
"1943","Salta","271743.56388"
"1944","Salta","275891.43928"
"1945","Salta","280080.03701"
"1946","Salta","286445.86391"
"1947","Salta","292931.13488"
"1948","Salta","302894.09033"
"1949","Salta","313130.08188"
"1950","Salta","323643.80977"
"1951","Salta","333844.27127"
"1952","Salta","344000.07971"
"1953","Salta","354134.65351"
"1954","Salta","364272.55648"
"1955","Salta","374439.46937"
